SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,ASFR,PASFR,Births
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1957,1957.5,40-44,40,5,8.304,2.013,22.369
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1957,1957.5,45-49,45,5,0.389,0.094,0.946
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1957,1957.5,50-54,50,5,0.072,0.017,0.14
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1958,1958.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1958,1958.5,15-19,15,5,3.779,0.888,17.387
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1958,1958.5,20-24,20,5,108.459,25.475,472.954
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1958,1958.5,25-29,25,5,181.482,42.626,742.253
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1958,1958.5,30-34,30,5,90.851,21.339,335.008
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1958,1958.5,35-39,35,5,33.265,7.813,102.635
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1958,1958.5,40-44,40,5,7.487,1.759,20.208
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1958,1958.5,45-49,45,5,0.35,0.082,0.871
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1958,1958.5,50-54,50,5,0.083,0.019,0.166
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1959,1959.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1959,1959.5,15-19,15,5,3.9,0.942,18.403
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1959,1959.5,20-24,20,5,109.642,26.483,473.269
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1959,1959.5,25-29,25,5,180.093,43.5,747.309
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1959,1959.5,30-34,30,5,85.026,20.538,320.358
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1959,1959.5,35-39,35,5,28.671,6.925,92.326
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1959,1959.5,40-44,40,5,6.294,1.52,17.009
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1959,1959.5,45-49,45,5,0.288,0.07,0.732
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1959,1959.5,50-54,50,5,0.088,0.021,0.183
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1960,1960.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1960,1960.5,15-19,15,5,4.261,1.051,20.077
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1960,1960.5,20-24,20,5,108.204,26.689,466.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1960,1960.5,25-29,25,5,181.88,44.861,764.699
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1960,1960.5,30-34,30,5,81.082,19.999,311.01
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1960,1960.5,35-39,35,5,24.391,6.016,81.315
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1960,1960.5,40-44,40,5,5.275,1.301,14.503
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1960,1960.5,45-49,45,5,0.248,0.061,0.64
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1960,1960.5,50-54,50,5,0.088,0.022,0.193
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1961,1961.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1961,1961.5,15-19,15,5,4.348,1.093,19.936
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1961,1961.5,20-24,20,5,102.187,25.686,446.223
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1961,1961.5,25-29,25,5,184.794,46.45,786.648
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1961,1961.5,30-34,30,5,79.913,20.087,311.601
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1961,1961.5,35-39,35,5,21.677,5.449,74.565
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1961,1961.5,40-44,40,5,4.606,1.158,13.026
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1961,1961.5,45-49,45,5,0.225,0.056,0.588
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1961,1961.5,50-54,50,5,0.086,0.022,0.195
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1962,1962.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1962,1962.5,15-19,15,5,4.015,1.009,18.565
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1962,1962.5,20-24,20,5,99.723,25.054,444.939
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1962,1962.5,25-29,25,5,189.696,47.658,813.828
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1962,1962.5,30-34,30,5,80.396,20.198,319.369
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1962,1962.5,35-39,35,5,19.891,4.997,70.561
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1962,1962.5,40-44,40,5,4.01,1.007,11.691
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1962,1962.5,45-49,45,5,0.213,0.054,0.563
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1962,1962.5,50-54,50,5,0.092,0.023,0.217
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1963,1963.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1963,1963.5,15-19,15,5,3.444,0.853,16.744
